N,lambda,rho,truth,naive_TPR,naive_FPR,naive_F1,nested_TPR,nested_FPR,nested_F1,n
200,0.7,0,M0,NA,0.25666666666666665,0,NA,0.27316666666666667,0,200
200,0.7,0,M6,0.68,0.25,0.7291666666666666,0.63875,0.28200000000000003,0.688,200
200,0.7,0,M7,0.6599999999999999,NA,0.7735000000000001,0.6358333333333333,NA,0.7513500000000001,200
200,0.7,0.4,M0,NA,0.24666666666666665,0,NA,0.2738333333333333,0,200
200,0.7,0.4,M6,0.665,0.27,0.7153333333333334,0.63775,0.275,0.6908666666666666,200
200,0.7,0.4,M7,0.63,NA,0.747,0.6006666666666667,NA,0.72455,200
200,0.85,0,M0,NA,0.19,0,NA,0.21716666666666665,0,200
200,0.85,0,M6,0.68,0.185,0.739,0.64575,0.2465,0.6990999999999999,200
200,0.85,0,M7,0.6733333333333333,NA,0.778,0.6508333333333333,NA,0.7631,200
200,0.85,0.4,M0,NA,0.19499999999999998,0,NA,0.21533333333333332,0,200
200,0.85,0.4,M6,0.6575,0.17,0.7368333333333333,0.6345,0.226,0.70895,200
200,0.85,0.4,M7,0.6433333333333333,NA,0.761,0.6181666666666666,NA,0.74005,200
500,0.7,0,M0,NA,0.29666666666666663,0,NA,0.3035,0,200
500,0.7,0,M6,0.8875,0.34,0.8596666666666667,0.866,0.3395,0.8460666666666666,200
500,0.7,0,M7,0.8933333333333333,NA,0.9345,0.8581666666666666,NA,0.9124,200
500,0.7,0.4,M0,NA,0.30333333333333334,0,NA,0.3145,0,200
500,0.7,0.4,M6,0.8925,0.295,0.8721666666666666,0.8585,0.3375,0.84205,200
500,0.7,0.4,M7,0.8783333333333333,NA,0.926,0.8493333333333333,NA,0.90655,200
500,0.85,0,M0,NA,0.22,0,NA,0.2613333333333333,0,200
500,0.85,0,M6,0.945,0.25,0.9138333333333334,0.91375,0.271,0.8898833333333334,200
500,0.85,0,M7,0.915,NA,0.9480000000000001,0.8766666666666667,NA,0.9247,200
500,0.85,0.4,M0,NA,0.22499999999999998,0,NA,0.2363333333333333,0,200
500,0.85,0.4,M6,0.89,0.23,0.8826666666666667,0.8615,0.237,0.8621166666666666,200
500,0.85,0.4,M7,0.9,NA,0.9400000000000001,0.8576666666666667,NA,0.9128000000000001,200
1000,0.7,0,M0,NA,0.35833333333333334,0,NA,0.3673333333333333,0,200
1000,0.7,0,M6,0.98,0.41,0.9053333333333333,0.9662499999999999,0.40750000000000003,0.8972833333333333,200
1000,0.7,0,M7,0.98,NA,0.988,0.967,NA,0.9801,200
1000,0.7,0.4,M0,NA,0.40499999999999997,0,NA,0.38866666666666666,0,200
1000,0.7,0.4,M6,0.9675,0.32,0.9155,0.9625,0.3115,0.9137666666666667,200
1000,0.7,0.4,M7,0.985,NA,0.991,0.9635,NA,0.978,200
1000,0.85,0,M0,NA,0.255,0,NA,0.2708333333333333,0,200
1000,0.85,0,M6,0.9975,0.195,0.9593333333333334,0.98375,0.247,0.9403,200
1000,0.85,0,M7,0.9933333333333333,NA,0.996,0.9823333333333333,NA,0.9894,200
1000,0.85,0.4,M0,NA,0.255,0,NA,0.2828333333333333,0,200
1000,0.85,0.4,M6,0.9875,0.245,0.9426666666666667,0.97625,0.263,0.93205,200
1000,0.85,0.4,M7,0.9866666666666667,NA,0.992,0.9681666666666666,NA,0.98075,200
